sample_id,created_at,psa_grade,card_title,notes,front_image,back_image
sample_20260223_035207_919346,2026-02-23T03:52:07.920154,9.0,Test Card,synthetic test,sample_20260223_035207_919346_front_front.png,sample_20260223_035207_919346_back_back.png
sample_20260226_031801_379850,2026-02-26T03:18:01.381356,8.0,BulkTest #1,bulk api test,sample_20260226_031801_379850_front_front1.png,sample_20260226_031801_379850_back_back1.png
sample_20260226_031801_381761,2026-02-26T03:18:01.382550,8.0,BulkTest #2,bulk api test,sample_20260226_031801_381761_front_front2.png,sample_20260226_031801_381761_back_back2.png
sample_20260226_034927_900533,2026-02-26T03:49:28.083536,10.0,,,sample_20260226_034927_900533_front.webp,sample_20260226_034927_900533_back.webp
sample_20260226_035631_193270,2026-02-26T03:56:31.409843,10.0,,,sample_20260226_035631_193270_front.webp,sample_20260226_035631_193270_back.webp
sample_20260226_040407_741261,2026-02-26T04:04:07.755799,9.0,,,sample_20260226_040407_741261_front.jpg,sample_20260226_040407_741261_back.jpg
sample_20260226_045630_225285,2026-02-26T04:56:30.467679,8.0,,,sample_20260226_045630_225285_front.webp,sample_20260226_045630_225285_back.webp
sample_20260226_052537_916862,2026-02-26T05:25:38.131993,8.0,,,sample_20260226_052537_916862_front.webp,sample_20260226_052537_916862_back.webp
sample_20260226_062204_025437,2026-02-26T06:22:04.404827,10.0,,,sample_20260226_062204_025437_front.webp,sample_20260226_062204_025437_back.webp
sample_20260226_133436_060315,2026-02-26T13:34:36.074176,10.0,,,sample_20260226_133436_060315_front.jpg,sample_20260226_133436_060315_back.jpg
sample_20260226_133436_074681,2026-02-26T13:34:36.083251,10.0,,,sample_20260226_133436_074681_front.jpg,sample_20260226_133436_074681_back.jpg
sample_20260226_133436_083380,2026-02-26T13:34:36.092335,10.0,,,sample_20260226_133436_083380_front.jpg,sample_20260226_133436_083380_back.jpg
sample_20260226_133436_092604,2026-02-26T13:34:36.101658,10.0,,,sample_20260226_133436_092604_front.jpg,sample_20260226_133436_092604_back.jpg
sample_20260226_133436_102131,2026-02-26T13:34:36.110710,10.0,,,sample_20260226_133436_102131_front.jpg,sample_20260226_133436_102131_back.jpg
sample_20260226_133436_110928,2026-02-26T13:34:36.118279,10.0,,,sample_20260226_133436_110928_front.jpg,sample_20260226_133436_110928_back.jpg
sample_20260304_205855_046081,2026-03-04T20:58:55.059715,10.0,,,sample_20260304_205855_046081_front.jpg,sample_20260304_205855_046081_back.jpg
sample_20260304_205855_060524,2026-03-04T20:58:55.070874,10.0,,,sample_20260304_205855_060524_front.jpg,sample_20260304_205855_060524_back.jpg
sample_20260304_205855_070975,2026-03-04T20:58:55.082398,10.0,,,sample_20260304_205855_070975_front.jpg,sample_20260304_205855_070975_back.jpg
sample_20260304_205855_082527,2026-03-04T20:58:55.094832,10.0,,,sample_20260304_205855_082527_front.jpg,sample_20260304_205855_082527_back.jpg
sample_20260304_205855_094951,2026-03-04T20:58:55.105737,10.0,,,sample_20260304_205855_094951_front.jpg,sample_20260304_205855_094951_back.jpg
sample_20260304_205855_106040,2026-03-04T20:58:55.116903,10.0,,,sample_20260304_205855_106040_front.jpg,sample_20260304_205855_106040_back.jpg
sample_20260304_205901_176940,2026-03-04T20:59:01.187602,10.0,,,sample_20260304_205901_176940_front.jpg,sample_20260304_205901_176940_back.jpg
sample_20260304_205901_187719,2026-03-04T20:59:01.197987,10.0,,,sample_20260304_205901_187719_front.jpg,sample_20260304_205901_187719_back.jpg
sample_20260304_205901_198099,2026-03-04T20:59:01.208683,10.0,,,sample_20260304_205901_198099_front.jpg,sample_20260304_205901_198099_back.jpg
sample_20260304_205901_208795,2026-03-04T20:59:01.219051,10.0,,,sample_20260304_205901_208795_front.jpg,sample_20260304_205901_208795_back.jpg
sample_20260304_205901_219159,2026-03-04T20:59:01.229763,10.0,,,sample_20260304_205901_219159_front.jpg,sample_20260304_205901_219159_back.jpg
sample_20260304_205901_229867,2026-03-04T20:59:01.240400,10.0,,,sample_20260304_205901_229867_front.jpg,sample_20260304_205901_229867_back.jpg
sample_20260304_210034_015646,2026-03-04T21:00:34.026590,10.0,,,sample_20260304_210034_015646_front.jpg,sample_20260304_210034_015646_back.jpg
sample_20260304_210034_026724,2026-03-04T21:00:34.032771,10.0,,,sample_20260304_210034_026724_front.jpg,sample_20260304_210034_026724_back.jpg
sample_20260304_210034_032849,2026-03-04T21:00:34.040182,10.0,,,sample_20260304_210034_032849_front.jpg,sample_20260304_210034_032849_back.jpg
sample_20260304_210034_040275,2026-03-04T21:00:34.046686,10.0,,,sample_20260304_210034_040275_front.jpg,sample_20260304_210034_040275_back.jpg
sample_20260304_210034_046938,2026-03-04T21:00:34.053232,10.0,,,sample_20260304_210034_046938_front.jpg,sample_20260304_210034_046938_back.jpg
sample_20260304_210034_053318,2026-03-04T21:00:34.059405,10.0,,,sample_20260304_210034_053318_front.jpg,sample_20260304_210034_053318_back.jpg
